Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,2200uF,CAP-SMD_BD16.0-L17.0-W17.0-FD-LS18.0,216.5,48.65,180,top
C2,10nF,C_0805_2012Metric,250.25,44.35,0,top
C3,22uf/25,C_0805_2012Metric,239.25,37.35,-90,top
C4,.1uF/25,C_0805_2012Metric,237,37.35,-90,top
C5,1uF,C_0805_2012Metric,230.5,40.1,-90,top
C6,22uf/25,C_1206_3216Metric,237.5,30.35,90,top
C8,220uF,CAP-SMD_BD6.3-L6.5-W6.5-LS7.0-FD,214,27.1,180,top
D1,TTR5MF,TTF,213.85,64.7,180,top
D2,Power LED,LED_0805_2012Metric,223.6,34.75,90,top
J2,DC-005-5A - Power Jack,THT,204.39,64.2975,0,top
J7,BL8033,SOT-23-6_Handsoldering,233.75,39.6,-90,top
L1,6.8uH,Inductor-L_6.3x6.3_H3,232.34,31.1,0,top
Q1,2SA1015,SOT-23,218.75,22.77,0,top
R1,680,R_0805_2012Metric,225.6,34.75,-90,top
R2,300,R_0805_2012Metric,220.75,26.85,180,top
R3,110R,R_0805_2012Metric,208,27.1,-90,top
R4,10k,R_0805_2012Metric,233.25,43.1,180,top
R5,7.68k,R_0805_2012Metric,228.5,40.1,-90,top
R6,40.2k,R_0805_2012Metric,229.75,43.1,180,top
R7,100K,R_0805_2012Metric,238,40.35,0,top
