Comment,Designator,SMD Footprints,LCSC,Mouser,
6.8uH,L1,SMD_6x6x4.5mm,C206253,,
.01uF,C2,Capacitor_SMD:C_0805_2012Metric,C1710,,
22uF,"C3,C6",Capacitor_SMD:C_1206_3216Metric,C12891,,
.1uF,C4,Capacitor_SMD:C_1206_3216Metric,C24497,,
1uF,C5,Capacitor_SMD:C_0805_2012Metric,C28323,,
220uF,C8,CAP-SMD_BD6.3-L6.5-W6.5-LS7.0-FD,C259967,,
Power Jack,J2,THT,,EJ503A,
BL8033,J7,SOT-23-6L,C160717,,
3P Header,J12,PinHeader_1x03_P2.54mm_Vertical,C5333416,,
2SA1015,Q1,SOT-23,C181170,,
2.2K,R1,Resistor_SMD:R_0805_2012Metric,C17520,,Only if using the Green Power LED
300R,R2,Resistor_SMD:R_0805_2012Metric,C17617,,
110R,R3,Resistor_SMD:R_0805_2012Metric,C17423,,
10K,R4,Resistor_SMD:R_0805_2012Metric,C17414,,
7.68k,R5,Resistor_SMD:R_0805_2012Metric,C30041,,
40.2k,R6,Resistor_SMD:R_0805_2012Metric,C17678,,
100K,R7,Resistor_SMD:R_0805_2012Metric,C149504,,
470,R8,Resistor_SMD:R_0805_2012Metric,C17710,,
300R,R9,Resistor_SMD:R_0805_2012Metric,C17617,,
110R,R10,Resistor_SMD:R_0805_2012Metric,C246031,,
TTR8MF,D1,TTF,C712546,,Full Bridge Rectifier
Green_LED,D2,LED_SMD:LED_0805_2012Metric,C2297,,Optional
,,,,,
,,,,,
Comment,Designator,Through Hole FootPrints,LCSC,Mouser,
2200uF,C1,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,,UVZ1E222MHD,
Palette Switch,SW1,THT,,EG2319,
9 Pin Gen2 Connector,J5,9 Pin Gen2 Connector,,MD-90SM,
Red RCA,J5,Red RCA Jack for Audio,,RCJ-042,
Yellow RCA (If using Componsite),J3,Yellow RCA Jack for Video,,RCJ-044,*J3 can be either White or Yellow depending on how you want to use this port
Slide Switch,"J10,J11",THT,,OS102011MS2QN1,
JST PH Cable/Connectors,J8,,,https://www.amazon.com/gp/product/B01IZBC0KI,https://www.amazon.com/gp/product/B096QG96J4
Optional Right Angle JST PH Connector,J8,,,https://www.amazon.com/gp/product/B0BM492MMF,Digikey: S7B-PH-K-S(LF)(SN)
3 Pin JST with cable for connecting to Palette,J12is,,,,https://www.amazon.com/2-54MM-Female-Single-Connector-Wires/dp/B01IZW8PJM
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Give feedback,,,,,
Footer,,,,,
"© 2023 GitHub, Inc.",,,,,
Footer navigation,,,,,
Terms,,,,,
Privacy,,,,,
Security,,,,,
Status,,,,,
Docs,,,,,
Contact GitHub,,,,,
Pricing,,,,,
API,,,,,
Training,,,,,
Blog,,,,,
About,,,,,
NES-Power-Module-Redesign/RGB - Genesis 9 Pin Edition/DOCS_BOM_NES_PowerBoard_RGB_V2.0.csv at main · ShawMerlin/NES-Power-Module-Redesign,,,,,
